,COUNTYNAME,Proportion White,Proportion Black or African American,Proportion American Indian and Alaska Native,Proportion Asian,Proportion Native Hawaiian and Other Pacific Islander,Proportion Some other race,Proportion Two or more races,Proportion Hispanic or Latino (of any race),Year,Turnout,Total,FemaleProp
0,Aitkin,0.9500699656532248,0.0039435186363058145,0.01965398804223381,0.003307467243353263,0.00012721027859051014,0.0005088411143620407,0.02238900903192978,0.01183055590891744,2010,0.5581867388362652,13302,0.4954142234250489
1,Anoka,0.8546047021383213,0.05201480443898737,0.006581704268730458,0.04144187968316392,0.0003135540323927689,0.014921655448074571,0.030121699990329643,0.04057740828544552,2010,0.5361604943800099,245641,0.5041585077409716
2,Becker,0.87787265917603,0.004614232209737828,0.07541573033707866,0.004943820224719101,0.000299625468164794,0.0035355805243445686,0.033318352059925095,0.01758801498127341,2010,0.4850262804058184,24543,0.4995721794401662
3,Beltrami,0.7361318026465691,0.009114012794671807,0.2107834545613881,0.008566295679607394,0.0010516168609236698,0.0024318639908859872,0.0319209534659539,0.020703706949434755,2010,0.4843941706317144,33417,0.506568513032289
4,Benton,0.9385406898649162,0.026509871505689737,0.0042324555845604074,0.011075347847023341,0.0,0.0008110094533289404,0.01883062574448133,0.020047139924474745,2010,0.4776165803108808,28950,0.502279792746114
5,Big Stone,0.9882306786975285,0.0017653981953707335,0.0,0.0,0.0,0.0007846214201647705,0.009219301686936054,0.012553942722636328,2010,0.5351066379103763,4173,0.5149772346034028
6,Blue Earth,0.9163970453574264,0.033056589951773394,0.004013796471521885,0.02055735303095049,0.0001220926683352665,0.004532690311946768,0.02132043220804591,0.03076735242048715,2010,0.43687440707827535,51651,0.4988286770827283
7,Brown,0.9707821692265172,0.002250562640660165,0.002211079085560864,0.006554270146483989,0.0005922533264895171,0.00939708611363367,0.008212579460654637,0.038970268883010216,2010,0.5214696548988497,20168,0.5125446251487505
8,Carlton,0.8936925765176709,0.014796234710557462,0.051800913139056416,0.0060875937094865004,0.00019728312947409955,0.0017755481652668961,0.031649850628487686,0.016628149484245534,2010,0.5090506095308459,27070,0.4787587735500554
9,Carver,0.9285692226923196,0.014288214282037819,0.0013897038386708257,0.027505841903173667,0.0007720576881504586,0.005497050739631265,0.021977908856016387,0.04042494055155802,2010,0.5797331837167259,64164,0.5091484321426345
10,Cass,0.8491949848077394,0.003492473719135264,0.11085111584535326,0.005797506373764538,0.0004540215834875842,0.0012572905388886946,0.028952607131631336,0.018195788076694724,2010,0.582984223192798,22438,0.4904626080755861
11,Chippewa,0.9289955467590302,0.005360382648853703,0.01459673428995547,0.006679861454725385,0.010720765297707406,0.01756556160316675,0.016081147946561108,0.060201220517895435,2010,0.5145824590851867,9532,0.5163659253042383
12,Chisago,0.9564959937824984,0.012435003053237356,0.004033974204770452,0.007068707092762902,7.401787531688903e-05,0.0019799781647267816,0.017912325826687146,0.01931866545770804,2010,0.572474414203541,40159,0.4832789661097139
13,Clay,0.922217517344712,0.020699651477150586,0.01254030813328556,0.010488257711475196,0.00042343897592912283,0.004283248102667666,0.029347578254779974,0.04206703364711247,2010,0.4245247692680456,45399,0.5145047247736735
14,Clearwater,0.8630762209036971,0.003308991328160657,0.09185303514376997,0.004564125969876769,0.0012551346417161114,0.0013692377909630307,0.03457325422181652,0.01711547238703788,2010,0.5490136106438294,6539,0.5002293928735281
15,Cook,0.8680728667305848,0.0028763183125599234,0.08226270373921381,0.009204218600191754,0.0038350910834132313,0.013039309683604986,0.020709491850431447,0.01879194630872483,2010,0.6643421664342166,4302,0.504416550441655
16,Cottonwood,0.9062905598338672,0.006229990481958986,0.004672492861469239,0.028813705979060317,0.00034611058233105475,0.03703383230942287,0.01661330795189063,0.06801072942805228,2010,0.5217927170868347,8925,0.5136134453781512
17,Crow Wing,0.9632665308507448,0.006143301590309692,0.01179703415928365,0.00454825413369972,0.0,0.0007264572574659276,0.013518422008496392,0.013581592204797776,2010,0.5736984028209915,48210,0.5051649035469821
18,Dakota,0.8375141589005402,0.05367499428782553,0.0028390722456380865,0.046489808022323664,0.00012639705203183258,0.02773686078337004,0.031618708708270736,0.06574591275686555,2010,0.5536020714331831,294289,0.5164277292049652
19,Dodge,0.9642453710525024,0.0032906045872010217,0.0026521290702814205,0.00888954373557291,0.0,0.00775993320563823,0.013162418348804087,0.04852413928588969,2010,0.5575486843023661,14327,0.5019892510644238
20,Douglas,0.9736585101188217,0.0057511800770441105,0.0037436926916607893,0.0021431284249362487,0.0,0.0037708208995713742,0.010932667787965929,0.014432206608431447,2010,0.5570011730830756,28131,0.5024705840531798
21,Faribault,0.9747149231531981,0.001983143282102132,0.0007790920036829804,0.003328847652100007,0.0,0.005524470571570224,0.013669523337346836,0.06211488065727035,2010,0.5831638517994517,11309,0.5096825537182775
22,Fillmore,0.9817981510753458,0.0041672654116970825,0.0007663936389327967,0.0043588638214302824,9.579920486659959e-05,0.0015806868802988937,0.00723283996742827,0.01274129424725775,2010,0.5353484254458075,15814,0.5095485013279373
23,Freeborn,0.9472537478455986,0.013202822672433416,0.00286169555461611,0.014275958505414459,0.00022763487366264515,0.010568761991479951,0.0116093785567949,0.09365549087834542,2010,0.5569973718791065,24352,0.5085824572930355
24,Goodhue,0.9534768568353068,0.01209903121636168,0.011324004305705059,0.0052744886975242215,0.0,0.0012486544671689989,0.016576964477933262,0.031130247578040907,2010,0.5549950403854329,35285,0.5091965424401304
25,Grant,0.9745919569241124,0.00033653037186606087,0.004374894834258792,0.001177856301531213,0.0,0.0020191822311963654,0.01749957933703517,0.01901396601043244,2010,0.6509013785790032,4715,0.5039236479321315
26,Hennepin,0.7375653806237673,0.1244739573211827,0.006614761859476624,0.06882527816483566,0.00040272396869172597,0.027102413449492047,0.03501548461255391,0.06806779324631078,2010,0.5270116474707806,892726,0.5138474739169689
27,Houston,0.9721143100420414,0.004629876004470225,0.002075461657176308,0.004044489383215368,0.0002660848278431164,0.0018093768293331914,0.015060401255920388,0.009153318077803205,2010,0.5422804146208402,14664,0.5097517730496454
28,Hubbard,0.9430232558139536,0.0065891472868217045,0.021414728682170543,0.006056201550387597,0.0001937984496124031,0.0029069767441860465,0.01981589147286821,0.018604651162790697,2010,0.6149511645379414,15972,0.4996243425995492
29,Isanti,0.9575934063076884,0.005928082993161905,0.004576064064896909,0.008736122305712279,0.00023400327604586465,0.0037440524167338335,0.0191882686357609,0.017758248615480615,2010,0.5297973141452641,28073,0.4985217112528052
30,Itasca,0.9296013757826967,0.0049387071170297215,0.03514419260957757,0.004211129729253021,0.00011023899814798484,0.0021606843637005037,0.02383367139959432,0.012523150189611077,2010,0.5625833167881555,35257,0.499758913123635
31,Jackson,0.9557217357079604,0.0022631112860375872,0.0008855652858407951,0.021942339860277483,0.00029518842861359833,0.009150841287021549,0.009741218144248746,0.03276591557610942,2010,0.5485290419914508,7954,0.4973598189590143
32,Kanabec,0.9665158939565272,0.003392385978137957,0.0097374041965071,0.004774469154416384,6.282196255811031e-05,0.0018846588767433095,0.013632365875109938,0.015454202789295138,2010,0.5341489103135381,12343,0.4968808231386211
33,Kandiyohi,0.8883792048929664,0.036838390966831336,0.005504587155963303,0.007245354034344859,0.0,0.048153375676311456,0.013879087273582686,0.11745471653728536,2010,0.5432663864237895,32115,0.5068348123929628
34,Kittson,0.9799368800721372,0.006311992786293959,0.002028854824165916,0.003832281334535618,0.0,0.0004508566275924256,0.007439134355275024,0.0193868349864743,2010,0.5615901455767077,3572,0.5005599104143337
35,Koochiching,0.9362722351121424,0.00920340293890178,0.03642691415313225,0.004408352668213457,0.0,0.0002320185614849188,0.01345707656612529,0.0019334880123743235,2010,0.4859502563128916,10534,0.5052211885323714
36,Lac qui Parle,0.9720936957779064,0.010121457489878544,0.0020242914979757085,0.004048582995951417,0.0,0.003759398496240601,0.007952573742047426,0.02096587622903413,2010,0.6400839454354671,5718,0.5031479538300105
37,Lake,0.9691260143643315,0.008954388583154557,0.005223393340173493,0.0,0.0006529241675216862,0.0041973696483536965,0.01184590989646488,0.013897957280104468,2010,0.6392621270781144,8782,0.4956729674333865
38,Lake of the Woods,0.9400153806716228,0.0010253781081773904,0.0030761343245321714,0.011535503716995642,0.0,0.0,0.04434760317867213,0.012304537298128686,2010,0.5915012406947889,3224,0.4869727047146402
39,Le Sueur,0.9573598553345388,0.007703435804701626,0.0034358047016274863,0.004520795660036167,7.233273056057866e-05,0.01631103074141049,0.010596745027124774,0.05616636528028933,2010,0.5643392123701377,20695,0.4948055085769509
40,Lincoln,0.9756602796478508,0.00224408769204212,0.006732263076126359,0.001380977041256689,0.0,0.006904885206283446,0.007077507336440531,0.01605385810460901,2010,0.5424693520140105,4568,0.5032837127845884
41,Lyon,0.8904168289832489,0.029723412543825482,0.005414881184261785,0.035138293728087265,0.0,0.029996104402025717,0.009310479158550836,0.06178418387222439,2010,0.4597783339292098,19579,0.5083507840032688
42,McLeod,0.954990814451929,0.0016422646551244224,0.0020876245615988427,0.0061515337081779215,0.0,0.01942882591994656,0.015698936703223292,0.055168958414518736,2010,0.4941541834124954,27370,0.5067226890756302
43,Mahnomen,0.4771897810218978,0.0034671532846715326,0.41478102189781024,0.004379562043795621,0.0040145985401459855,0.0067518248175182476,0.08941605839416059,0.034306569343065696,2010,0.5067814293166406,3834,0.5036515388628064
44,Marshall,0.9746970019136719,0.0022326174782054007,0.0034020837763129915,0.00212630236019562,0.00021263023601956202,0.002870508186264087,0.014458856049330213,0.04093132043376568,2010,0.5981981981981982,7215,0.4923076923076923
45,Martin,0.9759817758629228,0.002674194027633339,0.0009409201208339524,0.007527360966671619,9.90442232456792e-05,0.0016342296835537068,0.01114247511513891,0.03971673352151736,2010,0.5448092828045921,16202,0.5134551289964202
46,Meeker,0.9742790335151988,0.005412661297306659,0.003160994197627089,0.003810513553303889,0.0009959296787044251,0.003074391616870182,0.009266476140989,0.03485753875465489,2010,0.5693367786391043,17415,0.4936548952052828
47,Mille Lacs,0.9110826741119901,0.00527377074608345,0.051264153870017065,0.004265549868155732,0.0,0.002908329455560725,0.02520552194819296,0.02047463936714751,2010,0.5283697047496789,19475,0.5040821566110398
48,Morrison,0.9719634703196348,0.005966514459665145,0.001491628614916286,0.005083713850837139,0.0,0.003957382039573821,0.011537290715372907,0.014946727549467275,2010,0.5146308403763356,25084,0.4992026789985648
49,Mower,0.9163269465960048,0.033810640032613117,0.0010955972278842234,0.02122401141459437,0.0011465552384834895,0.007618222584590297,0.0187780269058296,0.10938136975132493,2010,0.4898216660415317,29327,0.507484570532274
50,Murray,0.967860096892355,0.00413564929693962,0.0029540352120997282,0.007798652959943282,0.003899326479971641,0.004608294930875576,0.008743944227815196,0.033676001417936904,2010,0.564625850340136,6762,0.5063590653652765
51,Nicollet,0.9337566965629328,0.028622163366038643,0.0022271714922049,0.015289231324866068,0.0,0.007584421838319389,0.012520315415638356,0.041654126286642994,2010,0.5272283079832926,25378,0.5039798250453148
52,Nobles,0.7975056376271342,0.04174145151640665,0.004510101707395646,0.05996594412996456,0.00046021445993833126,0.07966312301532515,0.016153527543835432,0.2605274057710893,2010,0.37985810259308095,15927,0.488290324606015
53,Norman,0.9297981319674599,0.007532389273877674,0.014763482976800241,0.004670081349804157,0.0021090689966857487,0.009189514914130762,0.031937330521241335,0.04820729135281712,2010,0.5200849748937814,5178,0.5077249903437621
54,Olmsted,0.8525355753344348,0.052650162553962584,0.0027847359164312733,0.05961200234504078,9.32686670575068e-05,0.009959761232212332,0.022364493950860737,0.04634786547993392,2010,0.5150258683720973,108047,0.5186354086647478
55,Otter Tail,0.9561306201684748,0.013554269074773806,0.003570561930183381,0.006534474988733664,0.00012132977432661975,0.0077824383818074685,0.012306305681700005,0.03104308940271085,2010,0.5612322232624493,44862,0.5031875529401275
56,Pennington,0.9372704153715742,0.016530093246679853,0.01476405764340209,0.007629273806159931,0.0029669398135066397,0.004026561175473298,0.016812658943204294,0.03383724215880192,2010,0.4510190664036818,10647,0.5115055884286653
57,Pine,0.9146110709739568,0.02115801424295593,0.024254309010217773,0.005126088003577941,0.0004472425774933773,0.006089379708948292,0.02831389548284997,0.027625829979014003,2010,0.4753977862331373,23128,0.4599187132480111
58,Pipestone,0.9271943995691976,0.013462574044157244,0.013354873451803985,0.009800753904146474,0.0,0.013031771674744213,0.023155627355950455,0.05288099084544965,2010,0.5012468827930174,7218,0.5203657522859518
59,Polk,0.9308399366085578,0.014136291600633916,0.011822503961965134,0.007606973058637084,0.0005071315372424723,0.010079239302694136,0.025007923930269408,0.0595879556259905,2010,0.4514697955968324,24119,0.5023840126041711
60,Pope,0.9730296127562642,0.004464692482915718,0.0042824601366742605,0.0034624145785876995,0.0,0.0051936218678815494,0.009567198177676536,0.01184510250569476,2010,0.6123180032354979,8654,0.4995377859949157
61,Ramsey,0.6834070829758734,0.11207688023961107,0.0063985340377176745,0.13590817416956394,0.0003273581071928478,0.01962267274724944,0.04225929772279165,0.07334514832708719,2010,0.4938788255740441,390693,0.5233802499660859
62,Red Lake,0.9515091538842158,0.005690252350321623,0.01632855022266205,0.002968827313211281,0.0,0.006679861454725385,0.016823354774863932,0.031914893617021274,2010,0.52734375,3072,0.490234375
63,Redwood,0.8942739761201695,0.0065476954679676465,0.04930029528822698,0.03145461548337398,0.0,0.008987032995249711,0.009436384645012195,0.028951084863268712,2010,0.5076247306481021,12066,0.5096966683242168
64,Renville,0.9336445481827276,0.003001000333444481,0.013604534844948316,0.005001667222407469,0.0,0.0336112037345782,0.011137045681893965,0.07642547515838613,2010,0.52791372874326,12055,0.4948154292824554
65,Rice,0.8874009460040543,0.04174089317525646,0.004161803550586645,0.021991522820812088,0.0007525032250138213,0.02623011241476749,0.017722218809509183,0.07769211868050863,2010,0.4779042074622916,49127,0.4886925723125776
66,Rock,0.9637848021770986,0.007850115135021981,0.006698764915218757,0.00921080175842579,0.0,0.004710069081013188,0.007745446933221688,0.02574837764287209,2010,0.5178147268408549,7157,0.5134833030599413
67,Roseau,0.93337177269524,0.007495675571785508,0.014094432699083862,0.02838106220770068,0.00012813120635530784,0.0016016400794413481,0.014927285540393362,0.01063489012749055,2010,0.5816362053959965,11490,0.4881636205395997
68,St. Louis,0.925216992009104,0.015238104745124856,0.01909629503925572,0.01053640324826681,0.0003843216722484814,0.003054608615793125,0.026473274670207086,0.014689073784769881,2010,0.530788139021127,160695,0.5023927315722331
69,Scott,0.8479317513800272,0.030124023227471507,0.007018424259803571,0.05903649007097282,0.0012402322747150332,0.02300523335006093,0.031643845436948884,0.04743709226467848,2010,0.5260382983854173,91231,0.5060889390667646
70,Sherburne,0.937404044391806,0.020847041277361058,0.005165153309646006,0.011317278589288065,0.00012062990744396192,0.004880028073869369,0.0202658244505856,0.024487871211124272,2010,0.5250864777379328,63022,0.4876392370918092
71,Sibley,0.9678411446145616,0.004680082904325734,0.0019388914889349469,0.006485257738851375,0.00020057498161396003,0.009159590827037508,0.009694457444674736,0.08270375075215618,2010,0.5303818678895846,11339,0.502954405150366
72,Stearns,0.9010614274279096,0.04495610467197272,0.0034947058785248053,0.01993999778733706,0.00014317230787252457,0.013022172184223713,0.017382419742159688,0.030879663675233145,2010,0.48166622079928206,115879,0.4975793715858784
73,Steele,0.9058591718891108,0.02952847486385157,0.0013683259899838535,0.011849703073260174,0.00013683259899838538,0.037300566486959855,0.013956925097835308,0.07213814619194878,2010,0.5523526129812163,26885,0.5096522224288637
74,Stevens,0.9343372259782832,0.008399918049580004,0.01915591067404221,0.01679983609916001,0.0014341323499282937,0.003892644949805368,0.015980331899200985,0.04578979717271051,2010,0.5786795407098121,7664,0.5147442588726514
75,Swift,0.9567647368976062,0.01813772013076031,0.002214489085732363,0.001792681640830961,0.0,0.014657808710323737,0.006432563534746388,0.042918907518717714,2010,0.5961766644693474,7585,0.5004614370468029
76,Todd,0.9560715019519213,0.0028354222313540173,0.002383398397370043,0.0047667967947400865,0.0,0.014177111156770084,0.019765769467844668,0.05337990548592562,2010,0.5021378941742384,18710,0.4903794762159273
77,Traverse,0.9269944068295556,0.004415660877244628,0.04032970267883427,0.0,0.0,0.004710038269060936,0.023550191345304682,0.022667059169855758,2010,0.6551849166062365,2758,0.5097897026831038
78,Wabasha,0.9731795376752472,0.0021568903268157735,0.0023913349275566185,0.004126224973038871,0.0,0.0029071130491864767,0.01523889904815492,0.028742908050827583,2010,0.5428743235117258,16630,0.5019843656043296
79,Wadena,0.9640130861504908,0.008069792802617229,0.008651399491094147,0.002544529262086514,0.0,0.0020356234096692107,0.014685568884042169,0.017157397310069062,2010,0.5220293724966623,10486,0.5099179858859432
80,Waseca,0.932646842492382,0.026741620258484814,0.006987496059682673,0.004885993485342019,0.0,0.011820951980666176,0.01691709572344226,0.056688031942839126,2010,0.5425895542794641,14628,0.5427946404156412
81,Washington,0.8683873042674225,0.03938169611449476,0.003795051156807172,0.050674385414782204,0.0004462401254296568,0.007678546302438241,0.0296367766186255,0.03816358117751111,2010,0.5915413437355643,175347,0.5103195378307014
82,Watonwan,0.9066933430338304,0.006365951255001819,0.004547108039287013,0.011913423062931977,0.0,0.06284103310294653,0.0076391415060021815,0.22635503819570754,2010,0.5098225979283248,8399,0.49922609834504106
83,Wilkin,0.9529248340793331,0.0072542058959716,0.01528013582342954,0.0,0.0,0.0010804136440808766,0.02346041055718475,0.012656274116375984,2010,0.4899342236396253,5017,0.4989037273270879
84,Winona,0.9391729396812982,0.01476195131488904,0.003323883077524685,0.026239124059047804,0.00023462704076644835,0.004536122788151334,0.011731352038322415,0.027373154756085642,2010,0.4446666506035708,41503,0.5146374960846204
85,Wright,0.9473145425716968,0.011391450254768246,0.003225011930235064,0.010868059297116732,6.927233263034743e-05,0.009197826388140576,0.01793383722541217,0.02695463431905297,2010,0.549614577631819,87696,0.5012771392081737
86,Yellow Medicine,0.9252839210998208,0.002390914524805738,0.03297469615461246,0.006076907750547918,0.0,0.013349272763498704,0.019924287706714484,0.04144251842996613,2010,0.524437743435105,7959,0.4939062696318633
87,Aitkin,0.9500699656532248,0.0039435186363058145,0.01965398804223381,0.003307467243353263,0.00012721027859051014,0.0005088411143620407,0.02238900903192978,0.01183055590891744,2012,0.6949868073878628,13265,0.4941575574820957
88,Anoka,0.8546047021383213,0.05201480443898737,0.006581704268730458,0.04144187968316392,0.0003135540323927689,0.014921655448074571,0.030121699990329643,0.04057740828544552,2012,0.7419297271573604,252160,0.5038824555837563
89,Becker,0.87787265917603,0.004614232209737828,0.07541573033707866,0.004943820224719101,0.000299625468164794,0.0035355805243445686,0.033318352059925095,0.01758801498127341,2012,0.6631104311767785,24839,0.5016707596924191
90,Beltrami,0.7361318026465691,0.009114012794671807,0.2107834545613881,0.008566295679607394,0.0010516168609236698,0.0024318639908859872,0.0319209534659539,0.020703706949434755,2012,0.6573155197440531,33757,0.5062061202121042
91,Benton,0.9385406898649162,0.026509871505689737,0.0042324555845604074,0.011075347847023341,0.0,0.0008110094533289404,0.01883062574448133,0.020047139924474745,2012,0.6786794008519994,29108,0.5021643534423527
92,Big Stone,0.9882306786975285,0.0017653981953707335,0.0,0.0,0.0,0.0007846214201647705,0.009219301686936054,0.012553942722636328,2012,0.6939379004435683,4058,0.5137999014292755
93,Blue Earth,0.9163970453574264,0.033056589951773394,0.004013796471521885,0.02055735303095049,0.0001220926683352665,0.004532690311946768,0.02132043220804591,0.03076735242048715,2012,0.6597557240217474,52236,0.4987556474462057
94,Brown,0.9707821692265172,0.002250562640660165,0.002211079085560864,0.006554270146483989,0.0005922533264895171,0.00939708611363367,0.008212579460654637,0.038970268883010216,2012,0.7045294767500251,19914,0.5111479361253389
95,Carlton,0.8936925765176709,0.014796234710557462,0.051800913139056416,0.0060875937094865004,0.00019728312947409955,0.0017755481652668961,0.031649850628487686,0.016628149484245534,2012,0.6832080754494547,27144,0.4769746536987916
96,Carver,0.9285692226923196,0.014288214282037819,0.0013897038386708257,0.027505841903173667,0.0007720576881504586,0.005497050739631265,0.021977908856016387,0.04042494055155802,2012,0.7938115036042234,66866,0.5089283043699339
97,Cass,0.8491949848077394,0.003492473719135264,0.11085111584535326,0.005797506373764538,0.0004540215834875842,0.0012572905388886946,0.028952607131631336,0.018195788076694724,2012,0.7250324254215305,22359,0.4914352162440181
98,Chippewa,0.9289955467590302,0.005360382648853703,0.01459673428995547,0.006679861454725385,0.010720765297707406,0.01756556160316675,0.016081147946561108,0.060201220517895435,2012,0.6684497699796726,9347,0.5138547127420563
99,Chisago,0.9564959937824984,0.012435003053237356,0.004033974204770452,0.007068707092762902,7.401787531688903e-05,0.0019799781647267816,0.017912325826687146,0.01931866545770804,2012,0.7308804269935012,40469,0.4832835009513455
100,Clay,0.922217517344712,0.020699651477150586,0.01254030813328556,0.010488257711475196,0.00042343897592912283,0.004283248102667666,0.029347578254779974,0.04206703364711247,2012,0.6269868693849343,46304,0.5137137180373186
101,Clearwater,0.8630762209036971,0.003308991328160657,0.09185303514376997,0.004564125969876769,0.0012551346417161114,0.0013692377909630307,0.03457325422181652,0.01711547238703788,2012,0.6440858578170193,6569,0.4987060435378292
102,Cook,0.8680728667305848,0.0028763183125599234,0.08226270373921381,0.009204218600191754,0.0038350910834132313,0.013039309683604986,0.020709491850431447,0.01879194630872483,2012,0.7736635038185605,4321,0.5047442721592224
103,Cottonwood,0.9062905598338672,0.006229990481958986,0.004672492861469239,0.028813705979060317,0.00034611058233105475,0.03703383230942287,0.01661330795189063,0.06801072942805228,2012,0.6687012546625974,8847,0.5126031423081271
104,Crow Wing,0.9632665308507448,0.006143301590309692,0.01179703415928365,0.00454825413369972,0.0,0.0007264572574659276,0.013518422008496392,0.013581592204797776,2012,0.7216323002839857,48594,0.5053916121331852
105,Dakota,0.8375141589005402,0.05367499428782553,0.0028390722456380865,0.046489808022323664,0.00012639705203183258,0.02773686078337004,0.031618708708270736,0.06574591275686555,2012,0.7682490287864059,301427,0.5152358614191828
106,Dodge,0.9642453710525024,0.0032906045872010217,0.0026521290702814205,0.00888954373557291,0.0,0.00775993320563823,0.013162418348804087,0.04852413928588969,2012,0.7149044410834594,14546,0.502131170081122
107,Douglas,0.9736585101188217,0.0057511800770441105,0.0037436926916607893,0.0021431284249362487,0.0,0.0037708208995713742,0.010932667787965929,0.014432206608431447,2012,0.7398556310883734,28538,0.5024879108557012
108,Faribault,0.9747149231531981,0.001983143282102132,0.0007790920036829804,0.003328847652100007,0.0,0.005524470571570224,0.013669523337346836,0.06211488065727035,2012,0.7002793547805714,11097,0.5099576462106876
109,Fillmore,0.9817981510753458,0.0041672654116970825,0.0007663936389327967,0.0043588638214302824,9.579920486659959e-05,0.0015806868802988937,0.00723283996742827,0.01274129424725775,2012,0.6906429427724147,15849,0.5055208530506656
110,Freeborn,0.9472537478455986,0.013202822672433416,0.00286169555461611,0.014275958505414459,0.00022763487366264515,0.010568761991479951,0.0116093785567949,0.09365549087834542,2012,0.6939996698580388,24232,0.5061076262793001
111,Goodhue,0.9534768568353068,0.01209903121636168,0.011324004305705059,0.0052744886975242215,0.0,0.0012486544671689989,0.016576964477933262,0.031130247578040907,2012,0.7321433614821928,35407,0.5083458073262349
112,Grant,0.9745919569241124,0.00033653037186606087,0.004374894834258792,0.001177856301531213,0.0,0.0020191822311963654,0.01749957933703517,0.01901396601043244,2012,0.751713796058269,4668,0.5055698371893744
113,Hennepin,0.7375653806237673,0.1244739573211827,0.006614761859476624,0.06882527816483566,0.00040272396869172597,0.027102413449492047,0.03501548461255391,0.06806779324631078,2012,0.7427006882418017,919299,0.5126253808608516
114,Houston,0.9721143100420414,0.004629876004470225,0.002075461657176308,0.004044489383215368,0.0002660848278431164,0.0018093768293331914,0.015060401255920388,0.009153318077803205,2012,0.7189144849271994,14629,0.5074167748991729
